<Register>;<Description>;<min>;<max>;<divisor>;<comma>;<access>;<pcb>
1060;3-Wegeventil Heizung;0;10000;10;1;R;LU
1062;3-Wegeventil Sole;0;10000;10;1;R;LU
248;Abluft;-28000;55000;100;1;R;LU
256;Abluft Feuchte;500;100000;100;1;R;LU
5328;Absenkung der Lüfterstufe 1;30;70;1;0;R/W;LU
1066;Aktive Lüfterstufe;0;4;1;0;R;LU
1292;Anforderung der Ventilatoren durch Wärmepumpe;0;1;1;0;R;LU
1336;Anforderung der Ventilatoren durch Zonenregelung;0;1;1;0;R;LU
1050;Anforderung: Abtauen;0;1;1;0;R;LU
1324;Anforderung: Außenluftklappe und Fortluftklappe;0;1;1;0;R;LU
1216;Anforderung: Bypassklappe;0;1;1;0;R;LU
1214;Anforderung: Durchgangsventil Sole Fortluft;0;1;1;0;R;LU
228;Anforderung: LST3_EXT;0;1;1;0;R;LU
1198;Anforderung: Sole für Außenlufterwärmung;0;1;1;0;R;LU
1302;Anforderung: Sole für Frostfreihaltung (Bypass);0;1;1;0;R;LU
1320;Anforderung: Sole Kühlung;0;1;1;0;R;LU
1306;Anforderung: Zuluft Heizen;0;1;1;0;R;LU
1308;Anforderung: Zuluft Kühlen;0;1;1;0;R;LU
202;Temperatur Außenluft;-28000;100000;100;1;R;LU
5304;Außenluftfühler vorhanden?;0;1;1;0;R;LU
5002;Betriebsart;0;5;1;0;R/W;LU
902;Betriebsstunden: Abluftventilator;0;600000000;60;0;R;LU
932;Betriebsstunden: Bypassklappe;0;600000000;60;0;R;LU
956;Betriebsstunden: Durchgangsventil Sole Fortluft;0;600000000;60;0;R;LU
928;Betriebsstunden: Feinstaubfilter;0;600000000;60;0;R;LU
940;Betriebsstunden: Frostschutzeinrichtung;0;600000000;60;0;R;LU
926;Betriebsstunden: Grobstaubfilter;0;600000000;60;0;R;LU
938;Betriebsstunden: Heizung;0;600000000;60;0;R;LU
972;Betriebsstunden: Klappe Außenluft / Fortluft;0;600000000;60;0;R;LU
968;Betriebsstunden: Kühlung;0;600000000;60;0;R;LU
962;Betriebsstunden: Lüfterstufe 0;0;600000000;60;0;R;LU
904;Betriebsstunden: Lüfterstufe 1;0;600000000;60;0;R;LU
906;Betriebsstunden: Lüfterstufe 2;0;600000000;60;0;R;LU
908;Betriebsstunden: Lüfterstufe 3;0;600000000;60;0;R;LU
934;Betriebsstunden: Sole-Kreis;0;600000000;60;0;R;LU
970;Betriebsstunden: Sole-Kreis Außenluft;0;600000000;60;0;R;LU
900;Betriebsstunden: Zuluftventilator;0;600000000;60;0;R;LU
838;Brandmeldealarm;0;1;1;0;R;LU
5068;Brandmeldeanlage vorhanden?;0;1;1;0;R;LU
1058;Bypass Abluft;0;10000;10;1;R;LU
1310;Bypass Abtaudauer pro Stunde;0;3600;1;0;R;LU
1056;Bypass Zuluft;0;10000;10;1;R;LU
5456;Bypass: Verlängerung der Abtauzeit;1000;5000;100;1;R;LU
230;CO2;100;1950;1;0;R;LU
1048;CO2-Messung;0;1;1;0;R/W;LU
5054;CO2-Sensor vorhanden?;0;1;1;0;R;LU
5210;Datum;0;99999999;1;0;R/W;LU
220;Differenzdruck Abluft;5000;500000;1000;0;R;LU
218;Differenzdruck Zuluft;5000;500000;1000;0;R;LU
1094;Drehzahl Abluftventilator;0;10000;100;0;R;LU
5020;Drehzahl Abluftventilator;0;10000;100;0;R/W;LU
5018;Drehzahl Zuluftventilator;0;10000;100;0;R/W;LU
1092;Drehzahl Zuluftventilator;0;10000;100;0;R;LU
